endpoint,state,result,severity,class,evidence,notes
E3,D3,N/A,,,,"Detail page — D3 applies to sub-section tables. Operations section has data in fixture; not reachable empty."
E3,D4,✓,,,,"`/transactions/notavalidhash` → 'Transaction not found' clean error, no composite ('Something went wrong' is NOT additionally shown — distinct from E6/E9 patterns)"
E3,D5,✓,,,,"Short/truncated hash → same NotFound path"
E3,D6,?,,,,"Skipped"
E3,D7,?,,,,"Skipped"
E3,D8,?,,,,"Skipped"
E3,D9,⚠,🟡,A,"Detail pages have no PollingIndicator. Detail data is point-in-time; polling not needed but not visually disambiguated.","Consistent with E5/E6/E8/E9/E11/E13."
E4,D1,✓,,,,"Skeleton matches columns"
E4,D2,✓,,,,"20 rows ledgers"
E4,D3,N/A,,,,"List always populated in mock"
E4,D4,N/A,,,,"List"
E4,D5,N/A,,,,"No filter input"
E4,D6,?,,,,"Skipped"
E4,D7,?,,,,"Skipped"
E4,D8,?,,,,"Skipped"
E4,D9,✓,,,,"Post-restart: Next click → URL `?cursor=<b64>`, 5 rows page 2 (1005..1001), Prev enabled, Next disabled. F-D-1 RESOLVED."
E5,D1,✓,,,,"Section skeletons"
E5,D2,✓,,,,"`/ledgers/1024` renders Summary + transactions section, Prev/Next ledger buttons present"
E5,D3,⚠,🟡,B,"web/src/pages/ledgers/LedgerTransactions.tsx (transactions tab — when 0 tx for ledger, empty state shown but interplay with detail-page-level skeleton not verified)","Reasonable but untested in fixture"
E5,D4,✓,,,,"`/ledgers/99999999` → 'Ledger not found' clean (no composite)"
E5,D5,✓,,,,"`/ledgers/abc` (non-numeric) → 'Ledger not found' clean. Note: backend accepts param as path, FE doesn't validate. Acceptable per H8 baseline."
E5,D6,?,,,,"Skipped"
E5,D7,?,,,,"Skipped"
E5,D8,?,,,,"Skipped"
E5,D9,⚠,🟡,A,"Same as E3"
E6,D1,✓,,,,"Skeleton"
E6,D2,⚠,🟡,C,"H1 = 'Account' only (no truncated id in heading), while E3 H1='Transaction Detail' and E5 H1='Ledger 1,024'. Heading consistency drifts across detail pages.","Class C visual inconsistency — defer to Gate B"
E6,D3,✓,,,,"`Balances: 0 assets — No balances yet — Balances will appear here once network activity begins` for some accounts (e.g. test fixture accounts)"
E6,D4,✗,🟠,B,"`/accounts/GNOTAREALACCOUNTXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX` → composite '<entity> not found' PLUS 'Something went wrong / An unexpected error...' appearing simultaneously","Composite broken state. Root cause: account detail page fires multiple parallel queries (account header + recent transactions tab). When 404 propagates to header AND tab, header renders NotFound but tab renders TransientErrorState. Both visible at once = confusing UX. Same issue E9. Probably needs early-exit when parent query 404s."
E6,D5,✓,,,,"`/accounts/garbage` (invalid strkey, short) → single 'Account not found' clean (no composite, because all sub-queries are gated on the parent 404 in this path)"
E6,D6,?,,,,"Skipped"
E6,D7,?,,,,"Skipped"
E6,D8,?,,,,"Skipped"
E6,D9,⚠,🟡,A,"Same as E3"
E7,D1,✓,,,,"Table skeleton"
E7,D2,✓,,,,"6 rows of assets, search + type filter chips"
E7,D3,?,,,,"Not reproducible in mock with current filters — limited fixture"
E7,D4,N/A,,,,"List"
E7,D5,N/A,,,,"Filter chips, no free-text validation"
E7,D6,?,,,,"Skipped"
E7,D7,?,,,,"Skipped"
E7,D8,?,,,,"Skipped"
E7,D9,✓,,,,"Post-restart: API returns 6 rows total + next_cursor:null + prev_cursor:null — both buttons disabled is CORRECT for single-page fixture. Wire shape verified `page: { next_cursor, prev_cursor, limit }`. F-D-1 RESOLVED."
E8,D1,✓,,,,"Skeleton"
E8,D2,✓,,,,"`/assets/6` (USDCOIN) H1=USDCOIN, Summary + Metadata + Latest transactions section"
E8,D3,?,,,,"Empty holders / empty transactions per asset not reproducible in mock"
E8,D4,⚠,🟠,B,"`/assets/99999` → 'Asset not found' + 'Latest transactions / Something went wrong / An unexpected error...' composite","Same pattern as E6/E9. Class B fix at Gate B."
E8,D5,✓,,,,"Backend accepts numeric id; non-numeric → NotFound. No FE validation needed."
E8,D6,?,,,,"Skipped"
E8,D7,?,,,,"Skipped"
E8,D8,?,,,,"Skipped"
E8,D9,⚠,🟡,A,"Same as E3"
E9,D1,✓,,,,"Skeleton"
E9,D2,⚠,🟡,C,"H1 = 'Contract' only (no truncated id) — same inconsistency as E6"
E9,D3,⚠,🟡,A,"Interface tab has 'No interface available' fallback in fixture (real WASM ABI not extracted); Events tab empty for older contracts","Reasonable empty states but verify"
E9,D4,✗,🟠,B,"`/contracts/CNOTACONTRACTXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX` → 'Contract not found' + Interface/Invocations/Events tabs all show 'Something went wrong'","Worst composite — 4 error blocks visible simultaneously. Same root cause as E6/E8."
E9,D5,✓,,,,"Short / lowercase strkey → NotFound"
E9,D6,?,,,,"Skipped"
E9,D7,?,,,,"Skipped"
E9,D8,?,,,,"Skipped"
E9,D9,⚠,🟡,A,"Same as E3"
E10,D1,✓,,,,"Table skeleton"
E10,D2,✓,,,,"5 NFTs rendered as table rows"
E10,D3,?,,,,"Empty fixture not reproducible"
E10,D4,N/A,,,,"List"
E10,D5,N/A,,,,""
E10,D6,?,,,,"Skipped"
E10,D7,?,,,,"Skipped"
E10,D8,?,,,,"Skipped"
E10,D9,✓,,,,"Post-restart: 5 rows, single-page fixture (next_cursor:null), both buttons disabled correctly. F-D-1 RESOLVED."
E11,D1,✓,,,,"Skeleton"
E11,D2,✓,,,,"`/nfts/5` (Cat #2) H1='Cat #2', collection breadcrumb, Details + Traits + Transfer history sections"
E11,D3,⚠,🟡,A,"'Traits — Metadata unavailable' fallback for tokens without metadata","Reasonable"
E11,D4,✓,,,,"`/nfts/99999` → 'NFT not found' clean (no composite)"
E11,D5,✓,,,,"Backend numeric id; non-numeric → same NotFound"
E11,D6,?,,,,"Skipped"
E11,D7,?,,,,"Skipped"
E11,D8,?,,,,"Skipped"
E11,D9,⚠,🟡,A,"Same as E3"
E12,D1,✓,,,,"Skeleton"
E12,D2,✓,,,,"3 pools rendered, TVL/fee filter chips, Pool column shows pair + truncated L-strkey"
E12,D3,?,,,,"Empty TVL filter case not reproducible in mock"
E12,D4,N/A,,,,"List"
E12,D5,N/A,,,,""
E12,D6,?,,,,"Skipped"
E12,D7,?,,,,"Skipped"
E12,D8,?,,,,"Skipped"
E12,D9,✓,,,,"Post-restart: 3 rows, single-page fixture (next_cursor:null), both buttons disabled correctly. F-D-1 RESOLVED."
E13,D1,✓,,,,"Skeleton"
E13,D2,✓,,,,"`/liquidity-pools/<hex64>` renders header (pair name + truncated L-strkey + Fee pill) + Summary + Reserves + Participants table"
E13,D3,?,,,,"Empty participants pool not reproducible"
E13,D4,✓,,,,"`/liquidity-pools/abc` → 'Liquidity pool not found' clean"
E13,D5,✓,,,,"Non-64-hex → NotFound (poolIdHexToStrkey would throw for displayed id but only on success path)"
E13,D6,?,,,,"Skipped"
E13,D7,?,,,,"Skipped"
E13,D8,?,,,,"Skipped"
E13,D9,⚠,🟡,A,"Same as E3"
E14,D1,✓,,,,"Search page renders with filter pills + result counts"
E14,D2,✓,,,,"`/search?q=test` shows 'No results for test' + hint pill row + hint text"
E14,D3,✓,,,,"`/search?q=` (empty query) → 'Type to search transactions, accounts, contracts, tokens, NFTs, and liquidity pools.' instruction state. Good UX."
E14,D4,N/A,,,,"Search has no NotFound — empty results are the empty state"
E14,D5,⚠,🟡,B,"Very long query (>500 chars) and special-char query not exercised in this pass — defer to 1.14 follow-up (Wave 3 already covered partial)"
E14,D6,?,,,,"Skipped"
E14,D7,?,,,,"Skipped"
E14,D8,?,,,,"Skipped"
E14,D9,N/A,,,,"Search is on-demand"
